sex_orientation,race,edu,food_security,income_group,citizen_years,type,degree
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Moderate
Straight,Black/African American,"Some college, no degree",Low food security,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,White,High school graduate,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Professional school degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Professional school degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Associate degree,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,Less than a high school diploma,Low food security,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Black/African American,Less than a high school diploma,Low food security,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Black/African American,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,American Indian and Alaska Native,High school graduate,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,American Indian and Alaska Native,Associate degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,American Indian and Alaska Native,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,American Indian and Alaska Native,"Some college, no degree",Low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,White,Master's degree,Low food security,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$35,000 to $49,999",US Citizen,depression,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,Hispanic,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$0 to $34,999",US Citizen,depression,Moderate
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Less than a high school diploma,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Less than a high school diploma,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,White,Master's degree,Food secure,"$50,000 to $74,999",US Citizen,depression,Mild
Straight,Hispanic,Associate degree,Food secure,"$0 to $34,999","Non-US Citizen, 10 to less than 15 years",depression,Mild
Straight,White,Associate degree,Low food security,"$0 to $34,999",US Citizen,anxiety,Moderate
Straight,White,Associate degree,Low food security,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Professional school degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,Hispanic,Master's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,GED or equivalent,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,anxiety,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Black/African American,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,Asian,Less than a high school diploma,Low food security,"$0 to $34,999","Non-US Citizen, 15 years or more",anxiety,Mild
Straight,Asian,Less than a high school diploma,Low food security,"$0 to $34,999","Non-US Citizen, 15 years or more",depression,Mild
Straight,White,Master's degree,Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,Hispanic,Less than a high school diploma,Low food security,"$50,000 to $74,999",US Citizen,anxiety,Mild
Straight,Black/African American,High school graduate,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,Black/African American,High school graduate,Food secure,"$100,000 or greater",US Citizen,depression,Mild
Straight,White,"Some college, no degree",Food secure,"$0 to $34,999",US Citizen,depression,Mild
Straight,White,Bachelor's degree,Food secure,"$100,000 or greater",US Citizen,anxiety,Mild
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,anxiety,Severe
Straight,White,Associate degree,Very low food security,"$0 to $34,999",US Citizen,depression,Severe
Straight,Hispanic,High school graduate,Food secure,"$35,000 to $49,999",US Citizen,anxiety,Mild
