race,type,prop
American Indian and Alaska Native,anxiety,0.2217391304347826
American Indian and Alaska Native,depression,0.27391304347826084
Asian,anxiety,0.08191747572815535
Asian,depression,0.09344660194174756
Black/African American,anxiety,0.1415446454206144
Black/African American,depression,0.18977892621303472
Hispanic,anxiety,0.14450867052023122
Hispanic,depression,0.17052023121387283
Other single and multiple races,anxiety,0.20943952802359883
Other single and multiple races,depression,0.25958702064896755
White,anxiety,0.15523613963039015
White,depression,0.1890029660050194
